species,site,count,latin,纲,目,Order,科,Family,属
黄尾刺尾鱼,永暑礁北沙洲,12,Acanthurus thompsoni,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,刺尾鱼属
黄尾光鳃鱼,美济礁,7,Chromis xanthurus,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,光鳃鱼属
黄翼刺尾鱼,美济礁,312,Acanthurus xanthopterus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,刺尾鱼属
灰鳍异大眼鲷,七连屿,1,Heteropriacanthus cruentatus,辐鳍鱼纲,鲈形目,Perciformes,大眼鲷科,Priacanthidae,大眼鲷属
姬拟唇鱼,漫步暗沙,3,Pseudocheilinus evanidus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,拟唇鱼属
姬拟唇鱼,美济礁,28,Pseudocheilinus evanidus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,拟唇鱼属
姬拟唇鱼,南扉暗沙,11,Pseudocheilinus evanidus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,拟唇鱼属
姬拟唇鱼,永暑礁北沙洲,9,Pseudocheilinus evanidus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,拟唇鱼属
棘尾前孔鲀,漫步暗沙,2,Cantherhines dumerilii,辐鳍鱼纲,鲀形目,Tetraodontiformes,单角鲀科,Monacanthidae,前孔鲀属
棘尾前孔鲀,美济礁,6,Cantherhines dumerilii,辐鳍鱼纲,鲀形目,Tetraodontiformes,单角鲀科,Monacanthidae,前孔鲀属
棘尾前孔鲀,永暑礁北沙洲,2,Cantherhines dumerilii,辐鳍鱼纲,鲀形目,Tetraodontiformes,单角鲀科,Monacanthidae,前孔鲀属
颊鳞雀鲷,永暑礁北沙洲,3,Pomacentrus lepidogenys,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,雀鲷属
颊纹圣天竺鲷,永暑礁北沙洲,1,Nectamia bandanensis,辐鳍鱼纲,鲈形目,Perciformes,天竺鲷科,Apogonidae,圣天竺鲷属
颊吻鼻鱼,漫步暗沙,1,Naso lituratus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,鼻鱼属
颊吻鼻鱼,美济礁,225,Naso lituratus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,鼻鱼属
颊吻鼻鱼,南扉暗沙,7,Naso lituratus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,鼻鱼属
颊吻鼻鱼,七连屿,53,Naso lituratus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,鼻鱼属
颊吻鼻鱼,永乐环礁,35,Naso lituratus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,鼻鱼属
颊吻鼻鱼,永暑礁北沙洲,216,Naso lituratus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,鼻鱼属
